Time (seconds),Time (steps),Velocity (m/s), X-comp,Y-comp
0,0,0,0,0
0.0072,1,0,0,0
0.0144,2,0,0,0
0.0216,3,0,0,0
0.0288,4,0,0,0
0.036,5,0,0,0
0.043199999999999995,6,0,0,0
0.05039999999999999,7,0,0,0
0.05759999999999999,8,0,0,0
0.0648,9,0,0,0
0.072,10,0,0,0
0.07919999999999999,11,0,0,0
0.08639999999999999,12,0,0,0
0.09359999999999999,13,0,0,0
0.10079999999999999,14,0,0,0
0.10799999999999998,15,0,0,0
0.11519999999999998,16,0,0,0
0.12239999999999998,17,0,0,0
0.1296,18,0,0,0
0.1368,19,0,0,0
0.14400000000000002,20,0,0,0
0.15120000000000003,21,0,0,0
0.15840000000000004,22,0,0,0
0.16560000000000005,23,0,0,0
0.17280000000000006,24,0,0,0
0.18000000000000008,25,0,0,0
0.1872000000000001,26,0,0,0
0.1944000000000001,27,0,0,0
0.2016000000000001,28,0,0,0
0.20880000000000012,29,0,0,0
0.21600000000000014,30,0,0,0
0.22320000000000015,31,0,0,0
0.23040000000000016,32,0,0,0
0.23760000000000017,33,0,0,0
0.24480000000000018,34,0,0,0
0.25200000000000017,35,0,0,0
0.25920000000000015,36,0,0,0
0.26640000000000014,37,0,0,0
0.2736000000000001,38,0,0,0
0.2808000000000001,39,0,0,0
0.2880000000000001,40,0,0,0
0.2952000000000001,41,0,0,0
0.30240000000000006,42,0,0,0
0.30960000000000004,43,0,0,0
0.3168,44,0,0,0
0.324,45,0,0,0
0.3312,46,0,0,0
0.3384,47,0,0,0
0.34559999999999996,48,0,0,0
0.35279999999999995,49,0,0,0
0.35999999999999993,50,0,0,0
0.3671999999999999,51,0,0,0
0.3743999999999999,52,0,0,0
0.3815999999999999,53,0,0,0
0.38879999999999987,54,0,0,0
0.39599999999999985,55,0,0,0
0.40319999999999984,56,0,0,0
0.4103999999999998,57,0,0,0
0.4175999999999998,58,0,0,0
0.4247999999999998,59,0,0,0
0.4319999999999998,60,0,0,0
0.43919999999999976,61,0,0,0
0.44639999999999974,62,0,0,0
0.4535999999999997,63,0,0,0
0.4607999999999997,64,0,0,0
0.4679999999999997,65,0,0,0
0.4751999999999997,66,0,0,0
0.48239999999999966,67,0,0,0
0.48959999999999965,68,0,0,0
0.49679999999999963,69,0,0,0
0.5039999999999997,70,0,0,0
0.5111999999999997,71,0,0,0
0.5183999999999996,72,0,0,0
0.5255999999999996,73,0,0,0
0.5327999999999996,74,0,0,0
0.5399999999999996,75,0,0,0
0.5471999999999996,76,0,0,0
0.5543999999999996,77,0,0,0
0.5615999999999995,78,0,0,0
0.5687999999999995,79,0,0,0
0.5759999999999995,80,0,0,0
0.5831999999999995,81,0,0,0
0.5903999999999995,82,0,0,0
0.5975999999999995,83,0,0,0
0.6047999999999994,84,0,0,0
0.6119999999999994,85,0,0,0
0.6191999999999994,86,0,0,0
0.6263999999999994,87,0,0,0
0.6335999999999994,88,0,0,0
0.6407999999999994,89,0,0,0
0.6479999999999994,90,0,0,0
0.6551999999999993,91,0,0,0
0.6623999999999993,92,0,0,0
0.6695999999999993,93,0,0,0
0.6767999999999993,94,0,0,0
0.6839999999999993,95,0,0,0
0.6911999999999993,96,0,0,0
0.6983999999999992,97,0,0,0
0.7055999999999992,98,0,0,0
0.7127999999999992,99,0,0,0
